initial_money,years,fee,stochastic_fee,seed,precision,final_money
2.718281828459045,10,1.0,False,,float,0.09911218282547907
2.718281828459045,10,1.0,False,,decimal,0.099112182496
2.718281828459045,10,1.0,False,42,float,0.09911218282547907
2.718281828459045,10,1.0,False,42,decimal,0.099112182496
2.718281828459045,10,1.0,True,,float,350102.631817127
2.718281828459045,10,1.0,True,,decimal,404014.0210945099
2.718281828459045,10,1.0,True,42,float,350102.631817127
2.718281828459045,10,1.0,True,42,decimal,350102.63181712665
2.718281828459045,10,0.5,False,,float,4932050.099112184
2.718281828459045,10,0.5,False,,decimal,4932050.099112183
2.718281828459045,10,0.5,False,42,float,4932050.099112184
2.718281828459045,10,0.5,False,42,decimal,4932050.099112183
2.718281828459045,10,0.5,True,,float,5282152.631817125
2.718281828459045,10,0.5,True,,decimal,5336064.02109451
2.718281828459045,10,0.5,True,42,float,5282152.631817125
2.718281828459045,10,0.5,True,42,decimal,5282152.631817127
2.718281828459045,10,2.0,False,,float,-9864099.900887817
2.718281828459045,10,2.0,False,,decimal,-9864099.900887817
2.718281828459045,10,2.0,False,42,float,-9864099.900887817
2.718281828459045,10,2.0,False,42,decimal,-9864099.900887817
2.718281828459045,10,2.0,True,,float,-9513997.368182875
2.718281828459045,10,2.0,True,,decimal,-9460085.97890549
2.718281828459045,10,2.0,True,42,float,-9513997.368182875
2.718281828459045,10,2.0,True,42,decimal,-9513997.368182873
2.718281828459045,20,1.0,False,,float,-351.66184085735586
2.718281828459045,20,1.0,False,,decimal,-572.5586342912
2.718281828459045,20,1.0,False,42,float,-351.66184085735586
2.718281828459045,20,1.0,False,42,decimal,-572.5586342912
2.718281828459045,20,1.0,True,,float,2.3472368093627552e+17
2.718281828459045,20,1.0,True,,decimal,-1.8670868621934893e+17
2.718281828459045,20,1.0,True,42,float,2.3472368093627552e+17
2.718281828459045,20,1.0,True,42,decimal,2.3472368093627526e+17
2.718281828459045,20,0.5,False,,float,3.3066566596240404e+18
2.718281828459045,20,0.5,False,,decimal,3.3066566596240394e+18
2.718281828459045,20,0.5,False,42,float,3.3066566596240404e+18
2.718281828459045,20,0.5,False,42,decimal,3.3066566596240394e+18
2.718281828459045,20,0.5,True,,float,3.5413803405603144e+18
2.718281828459045,20,0.5,True,,decimal,3.119947973404691e+18
2.718281828459045,20,0.5,True,42,float,3.5413803405603144e+18
2.718281828459045,20,0.5,True,42,decimal,3.5413803405603154e+18
2.718281828459045,20,2.0,False,,float,-6.613313319248082e+18
2.718281828459045,20,2.0,False,,decimal,-6.613313319248081e+18
