initial_money,years,fee,stochastic_fee,seed,precision,final_money
3.0,20,1.0,False,,float,6.8539270528184e+17
3.0,20,1.0,False,,decimal,6.8539270528184e+17
3.0,20,1.0,False,42,float,6.8539270528184e+17
3.0,20,1.0,False,42,decimal,6.8539270528184e+17
3.0,20,1.0,True,,float,9.201163862181158e+17
3.0,20,1.0,True,,decimal,4.9868401906249165e+17
3.0,20,1.0,True,42,float,9.201163862181158e+17
3.0,20,1.0,True,42,decimal,9.201163862181158e+17
3.0,20,0.5,False,,float,3.9920493649058806e+18
3.0,20,0.5,False,,decimal,3.99204936490588e+18
3.0,20,0.5,False,42,float,3.9920493649058806e+18
3.0,20,0.5,False,42,decimal,3.99204936490588e+18
3.0,20,0.5,True,,float,4.2267730458421576e+18
3.0,20,0.5,True,,decimal,3.8053406786865316e+18
3.0,20,0.5,True,42,float,4.2267730458421576e+18
3.0,20,0.5,True,42,decimal,4.226773045842156e+18
3.0,20,2.0,False,,float,-5.92792061396624e+18
3.0,20,2.0,False,,decimal,-5.92792061396624e+18
3.0,20,2.0,False,42,float,-5.92792061396624e+18
3.0,20,2.0,False,42,decimal,-5.92792061396624e+18
3.0,20,2.0,True,,float,-5.693196933029965e+18
3.0,20,2.0,True,,decimal,-6.114629300185589e+18
3.0,20,2.0,True,42,float,-5.693196933029965e+18
3.0,20,2.0,True,42,decimal,-5.693196933029964e+18
3.0,50,1.0,False,,float,8.568202725862873e+63
3.0,50,1.0,False,,decimal,8.568202725862876e+63
3.0,50,1.0,False,42,float,8.568202725862873e+63
3.0,50,1.0,False,42,decimal,8.568202725862876e+63
3.0,50,1.0,True,,float,1.1502520624673541e+64
3.0,50,1.0,True,,decimal,1.1350420664180293e+64
3.0,50,1.0,True,42,float,1.1502520624673541e+64
3.0,50,1.0,True,42,decimal,1.1502520624673541e+64
3.0,50,0.5,False,,float,4.990524116550148e+64
3.0,50,0.5,False,,decimal,4.9905241165501504e+64
3.0,50,0.5,False,42,float,4.990524116550148e+64
3.0,50,0.5,False,42,decimal,4.9905241165501504e+64
3.0,50,0.5,True,,float,5.283955906431219e+64
3.0,50,0.5,True,,decimal,5.268745910381892e+64
3.0,50,0.5,True,42,float,5.283955906431219e+64
3.0,50,0.5,True,42,decimal,5.283955906431218e+64
3.0,50,2.0,False,,float,-7.410587415341434e+64
3.0,50,2.0,False,,decimal,-7.410587415341438e+64
3.0,50,2.0,False,42,float,-7.410587415341434e+64
3.0,50,2.0,False,42,decimal,-7.410587415341438e+64
3.0,50,2.0,True,,float,-7.117155625460375e+64
3.0,50,2.0,True,,decimal,-7.132365621509696e+64
3.0,50,2.0,True,42,float,-7.117155625460375e+64
3.0,50,2.0,True,42,decimal,-7.117155625460372e+64
10.0,10,1.0,False,,float,26423899.0
10.0,10,1.0,False,,decimal,26423899.0
10.0,10,1.0,False,42,float,26423899.0
10.0,10,1.0,False,42,decimal,26423899.0
10.0,10,1.0,True,,float,26774001.532704942
10.0,10,1.0,True,,decimal,26827912.921982326
10.0,10,1.0,True,42,float,26774001.532704942
10.0,10,1.0,True,42,decimal,26774001.532704946
10.0,10,0.5,False,,float,31355949.0
10.0,10,0.5,False,,decimal,31355949.0
10.0,10,0.5,False,42,float,31355949.0
10.0,10,0.5,False,42,decimal,31355949.0
10.0,10,0.5,True,,float,31706051.532704953
10.0,10,0.5,True,,decimal,31759962.921982326
10.0,10,0.5,True,42,float,31706051.532704953
10.0,10,0.5,True,42,decimal,31706051.532704946
10.0,10,2.0,False,,float,16559799.0
10.0,10,2.0,False,,decimal,16559799.0
10.0,10,2.0,False,42,float,16559799.0
10.0,10,2.0,False,42,decimal,16559799.0
10.0,10,2.0,True,,float,16909901.532704942
10.0,10,2.0,True,,decimal,16963812.921982326
10.0,10,2.0,True,42,float,16909901.532704942
10.0,10,2.0,True,42,decimal,16909901.532704946
10.0,20,1.0,False,,float,1.7715706762518323e+19
10.0,20,1.0,False,,decimal,1.771570676251832e+19
10.0,20,1.0,False,42,float,1.7715706762518323e+19
10.0,20,1.0,False,42,decimal,1.771570676251832e+19
10.0,20,1.0,True,,float,1.7950430443454595e+19
10.0,20,1.0,True,,decimal,1.7528998076298971e+19
10.0,20,1.0,True,42,float,1.7950430443454595e+19
10.0,20,1.0,True,42,decimal,1.7950430443454595e+19
10.0,20,0.5,False,,float,2.102236342214236e+19
10.0,20,0.5,False,,decimal,2.102236342214236e+19
10.0,20,0.5,False,42,float,2.102236342214236e+19
10.0,20,0.5,False,42,decimal,2.102236342214236e+19
10.0,20,0.5,True,,float,2.125708710307864e+19
10.0,20,0.5,True,,decimal,2.083565473592301e+19
10.0,20,0.5,True,42,float,2.125708710307864e+19
10.0,20,0.5,True,42,decimal,2.1257087103078638e+19
10.0,20,2.0,False,,float,1.1102393443270242e+19
10.0,20,2.0,False,,decimal,1.110239344327024e+19
10.0,20,2.0,False,42,float,1.1102393443270242e+19
10.0,20,2.0,False,42,decimal,1.110239344327024e+19
10.0,20,2.0,True,,float,1.1337117124206516e+19
10.0,20,2.0,True,,decimal,1.0915684757050892e+19
10.0,20,2.0,True,42,float,1.1337117124206516e+19
10.0,20,2.0,True,42,decimal,1.1337117124206516e+19
10.0,50,1.0,False,,float,2.214668551378566e+65
10.0,50,1.0,False,,decimal,2.214668551378565e+65
10.0,50,1.0,False,42,float,2.214668551378566e+65
10.0,50,1.0,False,42,decimal,2.214668551378565e+65
10.0,50,1.0,True,,float,2.244011730366672e+65
10.0,50,1.0,True,,decimal,2.2424907307617394e+65
10.0,50,1.0,True,42,float,2.244011730366672e+65
10.0,50,1.0,True,42,decimal,2.2440117303666718e+65
10.0,50,0.5,False,,float,2.628038935774952e+65
10.0,50,0.5,False,,decimal,2.6280389357749517e+65
10.0,50,0.5,False,42,float,2.628038935774952e+65
10.0,50,0.5,False,42,decimal,2.6280389357749517e+65
10.0,50,0.5,True,,float,2.657382114763059e+65
10.0,50,0.5,True,,decimal,2.655861115158126e+65
10.0,50,0.5,True,42,float,2.657382114763059e+65
10.0,50,0.5,True,42,decimal,2.6573821147630583e+65
10.0,50,2.0,False,,float,1.3879277825857933e+65
10.0,50,2.0,False,,decimal,1.3879277825857926e+65
10.0,50,2.0,False,42,float,1.3879277825857933e+65
10.0,50,2.0,False,42,decimal,1.3879277825857926e+65
10.0,50,2.0,True,,float,1.417270961573899e+65
10.0,50,2.0,True,,decimal,1.4157499619689668e+65
10.0,50,2.0,True,42,float,1.417270961573899e+65
10.0,50,2.0,True,42,decimal,1.4172709615738992e+65
